[INFO] 2026-05-23 08:18:31 | Visualization | Üretilen grafik sayısı: 11
[INFO] 2026-05-23 08:18:46 | Dashboard | API isteği: Bahrain
[INFO] 2026-05-23 08:18:46 | DataLoader | ==================================================
[INFO] 2026-05-23 08:18:46 | DataLoader | Yarış yükleniyor: Bahrain 2025
[SUCCESS] 2026-05-23 08:18:46 | F1System | Bahrain: Processed CSV'den yüklendi (200 tur).
[INFO] 2026-05-23 08:18:46 | Analysis | Analizler başlıyor: Bahrain
[INFO] 2026-05-23 08:18:46 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:18:46 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:18:46 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:18:46 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:18:46 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:18:46 | F1System | ML pipeline tamamlandı: Bahrain
[INFO] 2026-05-23 08:18:46 | Visualization | Grafik üretimi başlıyor: Bahrain
[INFO] 2026-05-23 08:18:48 | Visualization | Üretilen grafik sayısı: 11
[INFO] 2026-05-23 08:18:48 | Dashboard | API isteği: Singapore
[INFO] 2026-05-23 08:18:48 | DataLoader | ==================================================
[INFO] 2026-05-23 08:18:48 | DataLoader | Yarış yükleniyor: Singapore 2025
[WARNING] 2026-05-23 08:18:48 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:18:48 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:18:48 | Utils | Singapore için örnek (simüle) veri üretiliyor.
[INFO] 2026-05-23 08:18:48 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:18:48 | Preprocessing | Preprocessing started: Singapore (200 satır)
[INFO] 2026-05-23 08:18:48 | Preprocessing | Preprocessing tamamlandı: 200 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:18:48 | Database | Singapore: 200 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:18:48 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:18:48 | FeatureEngineering | Feature engineering başladı: Singapore
[INFO] 2026-05-23 08:18:48 | FeatureEngineering | Feature engineering tamamlandı: 35 sütun mevcut.
[SUCCESS] 2026-05-23 08:18:48 | F1System | Singapore: İşlenmiş veri kaydedildi (200 tur).
[INFO] 2026-05-23 08:18:48 | Analysis | Analizler başlıyor: Singapore
[INFO] 2026-05-23 08:18:48 | Analysis | Tüm analizler tamamlandı: Singapore
[INFO] 2026-05-23 08:18:48 | Models | ML pipeline başlıyor: Singapore
[SUCCESS] 2026-05-23 08:18:48 | F1System | K-Means tamamlandı: 3 küme, 10 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:18:48 | F1System | Decision Tree model trained. Accuracy: 0.667
[SUCCESS] 2026-05-23 08:18:48 | F1System | kNN model trained (k=5). Accuracy: 0.667
[SUCCESS] 2026-05-23 08:18:48 | F1System | ML pipeline tamamlandı: Singapore
[INFO] 2026-05-23 08:18:48 | Visualization | Grafik üretimi başlıyor: Singapore
[INFO] 2026-05-23 08:18:49 | Visualization | Üretilen grafik sayısı: 11
[WARNING] 2026-05-23 08:26:58 | Utils | [SIMULATED] Bahrain için simüle veri üretiliyor. Gerçek veri için internet bağlantısı ve FastF1 gereklidir.
[WARNING] 2026-05-23 08:26:58 | Utils | [SIMULATED] Bahrain: 1140 satır, 20 pilot üretildi. Bu veriler gerçek değildir.
[WARNING] 2026-05-23 08:26:58 | Utils | [SIMULATED] Monaco için simüle veri üretiliyor. Gerçek veri için internet bağlantısı ve FastF1 gereklidir.
[WARNING] 2026-05-23 08:26:58 | Utils | [SIMULATED] Monaco: 1560 satır, 20 pilot üretildi. Bu veriler gerçek değildir.
[INFO] 2026-05-23 08:31:19 | Database | Veritabanı tabloları hazır.
[INFO] 2026-05-23 08:31:19 | DataLoader | ==================================================
[INFO] 2026-05-23 08:31:19 | DataLoader | Yarış yükleniyor: Bahrain 2025
[WARNING] 2026-05-23 08:31:19 | DataLoader | fastf1 kütüphanesi bulunamadı. Örnek veri kullanılacak.
[ERROR] 2026-05-23 08:31:19 | DataLoader | fastf1 yüklü değil. 'pip install fastf1' komutu çalıştırın.
[WARNING] 2026-05-23 08:31:19 | Utils | [SIMULATED] Bahrain için simüle veri üretiliyor. Gerçek veri için internet bağlantısı ve FastF1 gereklidir.
[WARNING] 2026-05-23 08:31:19 | Utils | [SIMULATED] Bahrain: 1140 satır, 20 pilot üretildi. Bu veriler gerçek değildir.
[INFO] 2026-05-23 08:31:19 | DataLoader | Preprocessing başlıyor...
[INFO] 2026-05-23 08:31:19 | Preprocessing | Preprocessing started: Bahrain (1140 satır)
[INFO] 2026-05-23 08:31:19 | Preprocessing | Preprocessing tamamlandı: 1140 satır (0 satır çıkarıldı).
[INFO] 2026-05-23 08:31:19 | Database | Bahrain: 1140 tur SQLite'a kaydedildi.
[INFO] 2026-05-23 08:31:19 | DataLoader | Feature engineering başlıyor...
[INFO] 2026-05-23 08:31:19 | FeatureEngineering | Feature engineering başladı: Bahrain
[INFO] 2026-05-23 08:31:20 | FeatureEngineering | Feature engineering tamamlandı: 36 sütun mevcut.
[SUCCESS] 2026-05-23 08:31:20 | F1System | Bahrain: İşlenmiş veri kaydedildi (1140 tur).
[INFO] 2026-05-23 08:31:20 | EDA | EDA başlıyor: Bahrain
[INFO] 2026-05-23 08:31:21 | EDA | EDA tamamlandı: Bahrain
[INFO] 2026-05-23 08:31:21 | Analysis | Analizler başlıyor: Bahrain
[INFO] 2026-05-23 08:31:21 | Analysis | Tüm analizler tamamlandı: Bahrain
[INFO] 2026-05-23 08:31:21 | Models | ML pipeline başlıyor: Bahrain
[SUCCESS] 2026-05-23 08:31:21 | F1System | K-Means tamamlandı: 3 küme, 20 pilot sınıflandırıldı.
[SUCCESS] 2026-05-23 08:31:21 | F1System | Decision Tree model trained. Accuracy: 0.833
[SUCCESS] 2026-05-23 08:31:21 | F1System | kNN model trained (k=5). Accuracy: 0.833
